index	pattern	head_index
2	(NP NP PP)	1
3	(NP DT NN)	2
4	(NP PRP)	1
5	(NP NN)	1
6	(NP NNS)	1
7	(NP NNP)	1
8	(NP NNP NNP)	2
9	(NP DT JJ NN)	3
10	(NP JJ NNS)	2
12	(NP DT NNS)	2
13	(NP JJ NN)	2
14	(NP QP -NONE-)	1
15	(NP NN NNS)	2
16	(NP NP CC NP)	1
17	(NP DT NN NN)	3
18	(NP CD)	1
20	(NP CD NN)	2
22	(NP CD NNS)	2
23	(NP NNP NNP NNP)	3
25	(NP PRP$ NN)	2
26	(NP NP NP)	1
29	(NP DT)	1
30	(NP NN NN)	2
31	(NP DT NNP)	2
33	(NP NP PP PP)	1
34	(NP $ CD -NONE-)	1
35	(NP DT NNP NN)	3
36	(NP PRP$ NNS)	2
38	(NP DT JJ NNS)	3
40	(NP DT ADJP NN)	3
41	(NP JJ NN NNS)	3
42	(NP DT NNP NNP)	3
43	(NP DT JJ NN NN)	4
44	(NP QP NNS)	2
45	(NP NNP CD)	1
47	(NP QP NN)	2
49	(NP JJ JJ NNS)	3
50	(NP EX)	1
51	(NP PRP$ JJ NN)	3
52	(NP NNP NNS)	2
53	(NP NP ADJP)	1
54	(NP DT JJ JJ NN)	4
55	(NP NP JJ NN)	3
56	(NP NNP NNP NNP NNP)	4
57	(NP NP PRN)	1
58	(NP QP)	1
59	(NP NP , CC NP)	1
60	(NP NP PP SBAR)	1
61	(NP DT NNP NNP NNP)	4
62	(NP NP , NP CC NP)	1
63	(NP DT NN NNS)	3
64	(NP JJ NN NN)	3
65	(NP JJ)	1
66	(NP DT NN S)	2
67	(NP JJ JJ NN)	3
68	(NP ADJP NNS)	2
69	(NP NP ADVP)	1
70	(NP NP NN NN)	3
71	(NP DT CD NNS)	3
72	(NP NNP NNPS)	2
73	(NP NNP CC NNP)	1
74	(NP PRP$ NN NN)	3
75	(NP PRP$ JJ NNS)	3
76	(NP JJ NNP)	2
77	(NP DT NNP NNP NN)	4
78	(NP NP , CC NP ,)	1
79	(NP JJR NNS)	2
80	(NP NNP NN)	2
81	(NP NP : NP)	1
82	(NP DT JJ CD NNS)	4
83	(NP NP , PP)	1
84	(NP DT JJ)	2
85	(NP NP : NP .)	1
86	(NP DT NNP NNP NNP NNP)	5
87	(NP NP , VP ,)	1
88	(NP CD JJ NNS)	3
89	(NP DT NN NN NN)	4
90	(NP DT VBG NN)	3
91	(NP NNS CC NNS)	1
93	(NP NN NN NNS)	3
94	(NP DT JJS NN)	3
95	(NP NP JJ NNS)	3
96	(NP DT VBN NN)	3
97	(NP DT NNPS)	2
98	(NP VBG NNS)	2
99	(NP DT NNS NN)	3
100	(NP ADJP NN)	2
101	(NP RB)	1
102	(NP NN CC NN)	1
103	(NP DT NN SBAR)	2
104	(NP DT NNP NN NN)	4
106	(NP NNPS)	1
107	(NP NP PP VP)	1
108	(NP DT NNP POS)	3
109	(NP CD CD)	2
110	(NP NN POS)	2
111	(NP PRP$ NN NNS)	3
112	(NP JJR NN)	2
113	(NP NP , PP ,)	1
114	(NP DT ADJP NN NN)	4
115	(NP NP NNP NNP)	3
116	(NP NNS POS)	2
117	(NP NNP NNP NNS)	3
118	(NP DT JJR NN)	3
119	(NP DT JJ JJ NNS)	4
120	(NP NNP NNPS NNP)	3
121	(NP NNS NNS)	2
122	(NP NNP NNP NNP NNP NNP)	5
123	(NP NP , VP)	1
124	(NP VBN NNS)	2
125	(NP JJS)	1
126	(NP QP JJ NNS)	3
128	(NP DT CD NN)	3
